"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2007";1,61;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2008";1,69;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2009";1,63;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2010";2,37;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2011";1,77;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2012";1,76;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2013";2,43;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2014";2,12;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2015";2,56;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2016";2,53;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2017";2,49;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2018";2,92;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2019";4,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2006";1,64;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2007";1,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2008";1,57;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2009";1,43;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2010";2,24;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2011";1,50;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2012";1,50;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2013";2,31;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2014";1,78;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2015";2,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2016";2,24;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2017";2,36;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2018";2,62;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"październik";"cebula - za 1 kg";"cena";"2019";3,78;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2006";1,56;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2007";1,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2008";1,49;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2009";1,41;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2010";2,12;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2011";1,49;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2012";1,55;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2013";2,34;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2014";1,63;"zł";"";
